"Title","Year","Directors"
"Phantom of the Paradise",1974,"Brian De Palma"
"Citizen Kane",1941,"Orson Welles"
"All About Eve",1950,"Joseph L. Mankiewicz"
"Kumonosu-jô",1957,"Akira Kurosawa"
"The Man Who Would Be King",1975,"John Huston"
"Araby",2017,"João Dumans, Affonso Uchoa"
"Sulla mia pelle",2018,"Alessio Cremonini"
"Zimna Wojna",2018,"Paweł Pawlikowski"
"Shirkers",2018,"Sandi Tan"
"Upgrade",2018,"Leigh Whannell"
"November",2017,"Rainer Sarnet"
"Annihilation",2018,"Alex Garland"
"Hereditary",2018,"Ari Aster"
"Yoake Tsugeru Lu no Uta",2017,"Masaaki Yuasa"
"The Favourite",2019,"Yorgos Lanthimos"
"Blindspotting",2018,"Carlos López Estrada"
"Eighth Grade",2018,"Bo Burnham"
"Avengers : Infinity War",2018,"Joe Russo, Anthony Russo"
"En guerre",2018,"Stéphane Brizé"
"Kona fer í stríð",2018,"Benedikt Erlingsson"
"Yochô: Sanpo Suru Shinryakusha",2018,"Kiyoshi Kurosawa"
"Girl",2018,"Lukas Dhont"
"Tengen Toppa Gurren-Lagann : Guren-hen",2008,"Hiroyuki Imaishi"
"Psycho-Pass : The Movie",2015,"Katsuyuki Motohiro, Naoyoshi Shiotani"
"Puella Magi Madoka ☆ Magica : Rebellion story",2013,"Yukihiro Miyamoto, Akiyuki Shinbo"
"Sin City",2005,"Robert Rodriguez, Frank Miller, Quentin Tarantino"
"American Beauty",1999,"Sam Mendes"
"Schindler's List",1993,"Steven Spielberg"
"Gekijōban Shutainzu Gēto: Fuka Ryōiki no Dejavu",2013,"Kanji Wakabayashi, Hiroshi Hamazaki"
"Apocalypse Now",1979,"Francis Ford Coppola"
"Skhizein",2008,"Jérémy Clapin"
"Goodfellas",1990,"Martin Scorsese"
"Aala Kaf Ifrit",2017,"Kaouther Ben Hania"
"L'Étrange couleur des larmes de ton corps",2014,"Hélène Cattet, Bruno Forzani"
"Walkabout",1971,"Nicolas Roeg"
"Rare Exports Inc: The Official Safety Instructions",2005,"Jalmari Helander"
"Persona",1966,"Ingmar Bergman"
"Smultronstället",1957,"Ingmar Bergman"
"Det sjunde inseglet",1957,"Ingmar Bergman"
"Outlaw King",2018,"David Mackenzie"
"Bikur Ha-Tizmoret",2007,"Eran Kolirin"
"Nie Yinniang",2015,"Hou Hsiao-Hsien"
"Delirium",2018,"Dennis Iliadis"
"College",1927,"James W. Horne, Buster Keaton"
"Dom Hemingway",2014,"Richard Shepard"
"Az ember tragédiája",2011,"Marcell Jankovics"
"Chihwaseon",2002,"Im Kwon-taek"
"Human Flow",2018,"Weiwei Ai"
"Jigeumeun Matgo Geuttaeneun Teullida",2016,"Hong Sang-Soo"
"Yumeji",1991,"Seijun Suzuki"
"Notre Musique",2004,"Jean-Luc Godard"
"Ni juge ni soumise",2018,"Yves Hinant, Jean Libon"
"Buraddo Za Rasuto Vanpaia",2001,"Hiroyuki Kitakubo"
"Possession",1981,"Andrzej Zulawski"
"With Blood on My Hands: Pusher II",2004,"Nicolas Winding Refn"
"Baraka",1992,"Ron Fricke"
"Un long dimanche de fiançailles",2004,"Jean-Pierre Jeunet"
"L'Auberge espagnole",2002,"Cédric Klapisch"
"Carlito's Way",1993,"Brian De Palma"
"Inside Man",2006,"Spike Lee"
"The Night of the Hunter",1955,"Charles Laughton"
"Escape from Alcatraz",1979,"Don Siegel"
"The Sixth Sense",1999,"M. Night Shyamalan"
"Brother",2000,"Takeshi Kitano"
"Pitch Black",2000,"David Twohy"
"The Insider",1999,"Michael Mann"
"Dancer in the Dark",2000,"Lars von Trier"
"Yi Yi",2000,"Edward Yang"
"Gongdonggyeongbiguyeok JSA",2000,"Park Chan-wook"
"The Yards",2000,"James Gray"
"Fa yeung nin wa",2000,"Wong Kar-Wai"
"O Brother, Where Art Thou?",2000,"Joel Coen, Ethan Coen"
"Dawn of the Dead",1978,"George A. Romero"
"El Laberinto del Fauno",2006,"Guillermo del Toro"
"Stand by Me",1986,"Rob Reiner"
"The Fly",1986,"David Cronenberg"
"Fail-Safe",1964,"Sidney Lumet"
"Bakjwi",2009,"Park Chan-wook"
"Marathon Man",1976,"John Schlesinger"
"Vertigo",1958,"Alfred Hitchcock"
"Blue Velvet",1986,"David Lynch"
"Blow Out",1981,"Brian De Palma"
"Le Locataire",1976,"Roman Polanski"
"Toy Story: That Time Forgot",2014,"Steve Purcell"
"Dredd",2012,"Pete Travis"
"Speed Racer",2008,"Lilly Wachowski, Lana Wachowski"
"Big Fish",2003,"Tim Burton"
"Twelve Monkeys",1995,"Terry Gilliam"
"L'Armée des ombres",1969,"Jean-Pierre Melville"
"The Virgin Suicides",1999,"Sofia Coppola"
"The Royal Tenenbaums",2001,"Wes Anderson"
